datetime,dollar,d_dollar,day_of_week,sin_month,cos_month
2013-08-09,32.9401,-0.04469999999999885,4,-0.4999999999999997,-0.8660254037844388
2013-08-10,32.8606,-0.07950000000000301,5,-0.4999999999999997,-0.8660254037844388
2013-08-11,32.8606,0.0,6,-0.4999999999999997,-0.8660254037844388
2013-08-12,32.8606,0.0,0,-0.4999999999999997,-0.8660254037844388
2013-08-13,32.891,0.030400000000000205,1,-0.4999999999999997,-0.8660254037844388
2013-08-14,33.0426,0.15160000000000196,2,-0.4999999999999997,-0.8660254037844388
2013-08-15,33.1583,0.1156999999999968,3,-0.4999999999999997,-0.8660254037844388
2013-08-16,33.0004,-0.15789999999999793,4,-0.4999999999999997,-0.8660254037844388
2013-08-17,32.9421,-0.05829999999999558,5,-0.4999999999999997,-0.8660254037844388
2013-08-18,32.9421,0.0,6,-0.4999999999999997,-0.8660254037844388
2013-08-19,32.9421,0.0,0,-0.4999999999999997,-0.8660254037844388
2013-08-20,32.9226,-0.01950000000000074,1,-0.4999999999999997,-0.8660254037844388
2013-08-21,33.0006,0.07799999999999585,2,-0.4999999999999997,-0.8660254037844388
2013-08-22,32.9737,-0.026899999999997704,3,-0.4999999999999997,-0.8660254037844388
2013-08-23,33.1908,0.21710000000000207,4,-0.4999999999999997,-0.8660254037844388
2013-08-24,33.0552,-0.13560000000000372,5,-0.4999999999999997,-0.8660254037844388
2013-08-25,33.0552,0.0,6,-0.4999999999999997,-0.8660254037844388
2013-08-26,33.0552,0.0,0,-0.4999999999999997,-0.8660254037844388
2013-08-27,32.9564,-0.09879999999999711,1,-0.4999999999999997,-0.8660254037844388
2013-08-28,33.1224,0.16599999999999682,2,-0.4999999999999997,-0.8660254037844388
2013-08-29,33.1798,0.05740000000000123,3,-0.4999999999999997,-0.8660254037844388
2013-08-30,33.1783,-0.0015000000000000568,4,-0.4999999999999997,-0.8660254037844388
2013-08-31,33.2474,0.06909999999999883,5,-0.4999999999999997,-0.8660254037844388
2013-09-01,33.2474,0.0,6,-0.8660254037844384,-0.5000000000000004
2013-09-02,33.2474,0.0,0,-0.8660254037844384,-0.5000000000000004
